Type,Name,pine,aspen,spruce,juneberry,moth,beetle,crosssbill,hare,beaver,warbler,owl,lynx,mosquito
,,D,D,K,P,P,P,P,P,A,A,A,A,A
,,pine,aspen,spruce,juneberry,moth,beetle,crosssbill,hare,beaver,warbler,owl,lynx,mosquito
Basal,pine,0,0,0,0,0,0,0,0,0,0,0,0,0
Basal,aspen,0,0,0,0,0,0,0,0,0,0,0,0,0
Basal,spruce,0,0,0,0,0,0,0,0,0,0,0,0,0
Basal,juneberry,0,0,0,0,0,0,0,0,0,0,0,0,0
Basal,moth,1,1,1,0,0,0,0,0,0,0,0,0,0
Basal,beetle,1,0,1,0,0,0,0,0,0,0,0,0,0
Basal,crosssbill,1,0,1,0,0,0,0,0,0,0,0,0,0
Basal,hare,0,1,0,1,0,0,0,0,0,0,0,0,0
Freeliving,beaver,0,1,0,0,0,0,0,0,0,0,0,0,0
Freeliving,warbler,0,0,0,0,2,2,0,0,0,0,0,0,0
Freeliving,owl,0,0,0,0,0,0,2,0,0,3,0,0,0
Freeliving,lynx,0,0,0,0,0,0,0,2,2,0,0,0,0
Freeliving,mosquito,0,0,0,0,0,0,0,2,2,3,3,3,3
